<<<<<<< HEAD
﻿프로그램,시간,요일,이용료,비고,참가비,정원
배드민턴,1일 2시간,월 ~ 금,무료,-,,
탁   구,1일 1시간,월 ~ 금,무료,-,,
헬   스,1일 2시간,월 ~ 금,무료,-,,
체력측정 &운동처방,09:00 ~ 18:00,월 ~ 금,무료,사전예약(053-795-8067),,
"다이어트, 방송댄스",10:30 ~ 12:00,"화, 목",,,무료,장애인10명비장애인10명
"요가, 필라테스",10:30 ~ 12:00,"수, 금",,,무료,장애인10명비장애인10명
=======
﻿프로그램,시간,요일,이용료,비고,참가비,정원
배드민턴,1일 2시간,월 ~ 금,무료,-,,
탁   구,1일 1시간,월 ~ 금,무료,-,,
헬   스,1일 2시간,월 ~ 금,무료,-,,
체력측정 &운동처방,09:00 ~ 18:00,월 ~ 금,무료,사전예약(053-795-8067),,
"다이어트, 방송댄스",10:30 ~ 12:00,"화, 목",,,무료,장애인10명비장애인10명
"요가, 필라테스",10:30 ~ 12:00,"수, 금",,,무료,장애인10명비장애인10명
>>>>>>> 6af386fa8150d4516db1e0f8c41cca6c2d41244d
