프로그램명,설명,담당자이름,담당기관,담당자연락처,신청자격,연결URL,신청방법
기초종목 육성반,"기초종목 육성반(화,목,토); 화목토; 18:00 - 20:00",,부산한마음스포츠센터,,장애인,http://hmsports.bisco.or.kr/facil/facil01/facil01_1,
장애인수영,수영선수육성반; 월화수목금; 17:00 - 18:50,,부산한마음스포츠센터,,7세~19세(지적장애),http://hmsports.bisco.or.kr/facil/facil01/facil01_1,
장애인수영,오전건강수영A(10~1050); 월수금; 10:00 - 10:50,,부산한마음스포츠센터,,성인(복지카드소지),http://hmsports.bisco.or.kr/facil/facil01/facil01_1,
장애인수영,오전건강수영B(10~1050); 화목; 10:00 - 10:50,,부산한마음스포츠센터,,성인(복지카드소지),http://hmsports.bisco.or.kr/facil/facil01/facil01_1,
장애인수영,오전건강수영C(11~1150); 월수금; 11:00 - 11:50,,부산한마음스포츠센터,,성인(복지카드소지자),http://hmsports.bisco.or.kr/facil/facil01/facil01_1,
장애인수영,오전건강수영D(11~1150); 화목; 11:00 - 11:50,,부산한마음스포츠센터,,성인(복지카드소지자),http://hmsports.bisco.or.kr/facil/facil01/facil01_1,
장애인수영,"장애인새벽자유수영(워킹,프리); 월화수목금; 06:00 - 06:50",,부산한마음스포츠센터,,성인(복지카드소지),http://hmsports.bisco.or.kr/facil/facil01/facil01_1,
장애인수영,"장애인아침자유수영(워킹,프리); 월화수목금; 07:00 - 07:50",,부산한마음스포츠센터,,성인(복지카드소지),http://hmsports.bisco.or.kr/facil/facil01/facil01_1,
장애인수영,재활건강수영A; 월화수목금; 13:00 - 13:50,,부산한마음스포츠센터,,성인(복지카드소지자),http://hmsports.bisco.or.kr/facil/facil01/facil01_1,
장애인수영,재활건강수영B; 화목; 14:00 - 14:50,,부산한마음스포츠센터,,"청소년(특수학급),성인(복지카드소지자)",http://hmsports.bisco.or.kr/facil/facil01/facil01_1,
장애인수영,저녁건강수영A19~1950; 월수금; 19:00 - 19:50,,부산한마음스포츠센터,,성인(복지카드소지자),http://hmsports.bisco.or.kr/facil/facil01/facil01_1,
장애인수영,저녁건강수영B20~2050; 월수금; 20:00 - 20:50,,부산한마음스포츠센터,,성인(복지카드소지자),http://hmsports.bisco.or.kr/facil/facil01/facil01_1,
장애인수영,직장인건강수영21-2150; 월화수목금; 21:00 - 21:50,,부산한마음스포츠센터,,성인(복지카드소지자),http://hmsports.bisco.or.kr/facil/facil01/facil01_1,
장애인수영,한마음건강수영A17~1750; 월수금; 17:00 - 17:50,,부산한마음스포츠센터,,중.고생.성인(복지카드소지),http://hmsports.bisco.or.kr/facil/facil01/facil01_1,
장애인수영,한마음건강수영B17~1750; 화목; 17:00 - 17:50,,부산한마음스포츠센터,,중.고생.성인(복지카드소지),http://hmsports.bisco.or.kr/facil/facil01/facil01_1,
장애인수영,한마음건강수영C18~1850; 월수금; 18:00 - 18:50,,부산한마음스포츠센터,,중.고생.성인(복지카드소지),http://hmsports.bisco.or.kr/facil/facil01/facil01_1,
장애인수영,한마음건강수영D18-1850; 화목; 18:00 - 18:50,,부산한마음스포츠센터,,중.고생.성인(복지카드소지),http://hmsports.bisco.or.kr/facil/facil01/facil01_1,
장애인체육,장애인배드민턴꿈나무; 화목; 09:00 - 11:00,,부산한마음스포츠센터,,"지적,발달",http://hmsports.bisco.or.kr/facil/facil01/facil01_2,
장애인 문화교실,스포츠스테킹; 토; 13:00 - 14:50,,부산한마음스포츠센터,,"장애인(지적,발달)",http://hmsports.bisco.or.kr/facil/facil01/facil01_4,
장애인 문화교실,스포츠스테킹A; 토; 10:00 - 12:00,,부산한마음스포츠센터,,"장애인(지적,발달)",http://hmsports.bisco.or.kr/facil/facil01/facil01_4,
장애인 문화교실,어린이요가교실; 화목; 14:00 - 15:00,,부산한마음스포츠센터,,"발달, 지체",http://hmsports.bisco.or.kr/facil/facil01/facil01_4,
장애인 문화교실,장애인 라인댄스; 화목; 16:00 - 16:50,,부산한마음스포츠센터,,"지적,발달",http://hmsports.bisco.or.kr/facil/facil01/facil01_4,
