년도,지역,클럽명,활동시간,종목,기타종목,장애유형,승인일,센터명
2022,대구 수성구,수성게이트볼클럽,매주화요일 오전10시,게이트볼,,지체장애,2022-02-03,생활체육정보센터
2022,충북 영동군,희망영동볼링클럽,매주 목요일/ 오후2시~,볼링,,지체장애,2022-02-03,생활체육정보센터
2022,대구 중구,소리볼링클럽,매주일요일오전11시,볼링,,시각장애,2022-02-03,생활체육정보센터
2022,대구 달서구,달서구장애인볼링클럽,"매주 화, 오후 2시",볼링,,지적장애,2022-02-03,생활체육정보센터
2022,광주 남구,원앤텐(ONE & TEN)볼링클럽,"매주 화, 수 20시 / 토 15시",볼링,,지체장애,2022-02-03,생활체육정보센터
2022,경남 진주시,일송게이트볼,"수,토 오후1~5시",게이트볼,,지체장애,2022-02-03,생활체육정보센터
2022,대구 수성구,대구장애인종합복지관탁구클럽,매주/월-금 오후1시,탁구,,지체장애,2022-02-03,생활체육정보센터
2022,대구 달서구,혜성배드민턴클럽,"화, 금 오후 7시~9시",배드민턴,,지체장애,2022-02-03,생활체육정보센터
2022,경남 진주시,모덕장애인론볼동호회,"화,수,금 오후 1시",론볼,,지체장애,2022-02-03,생활체육정보센터
2022,경남 창원시,창원장애인론볼동호회,"월,수,금 오후 1시",론볼,,지체장애,2022-02-03,생활체육정보센터
2022,대구 북구,이글파크골프클럽,"매주 토,일 오후2시",파크골프,,지체장애,2022-02-03,생활체육정보센터
2022,대구 달서구,달구벌파크골프,매주 화 오후2시,파크골프,,기타장애,2022-02-03,생활체육정보센터
2022,대구 달서구,태양배드민턴클럽,"매주 수19:00~21:00,일14:00~17:00",배드민턴,,지체장애,2022-02-03,생활체육정보센터
2022,대구 수성구,론볼수성클럽,"매주 화,목 오전10시",론볼,,뇌병변장애,2022-02-03,생활체육정보센터
2022,충북 제천시,제천장애인북부파크골프클럽,"월, 목",파크골프,,지체장애,2022-02-03,생활체육정보센터
2022,경남 양산시,양산스마일농아볼링클럽,매주일요일18시,볼링,,청각장애,2022-02-03,생활체육정보센터
2022,경남 양산시,양산데프MTB클럽,매주토요일오후10시,사이클,자전거,청각장애,2022-02-03,생활체육정보센터
2022,경남 양산시,느티나무 볼링팀,"격주 화 10:30, 목 13:30",볼링,,지적장애,2022-01-28,생활체육정보센터
2022,경남 양산시,으랏차차게이트볼,오후1-5,게이트볼,,지체장애,2022-02-03,생활체육정보센터
2022,경남 양산시,양산지체볼링동호회,매주 월 오후6시,볼링,,지체장애,2022-02-03,생활체육정보센터
