프로그램명,설명,담당자이름,담당기관,담당자연락처,신청자격,연결URL,신청방법
새벽수영,"50,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
새벽수영,"35,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
새벽수영,"50,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
새벽수영,"35,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
웰빙수영,"50,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
웰빙수영,"35,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
웰빙수영,"50,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
웰빙수영,"35,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
웰빙수영,"50,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
웰빙수영,"35,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
웰빙수영,"50,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
웰빙수영,"35,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
아쿠아로빅,"66,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
아쿠아로빅,"66,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
아쿠아로빅,"55,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
실버수영,"50,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",65세이상 성인,https://www.sbsd.kr/Home/106,
실버수영,"35,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",65세이상 성인,https://www.sbsd.kr/Home/106,
장애인 수영※ 상담 후 수업가능,"37,500원",,서부산권장애인스포츠센터,"051) 203-7780,9670",장애인,https://www.sbsd.kr/Home/106,
장애인 수영※ 상담 후 수업가능,"25,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",장애인,https://www.sbsd.kr/Home/106,
장애인 수영※ 상담 후 수업가능,"37,500원",,서부산권장애인스포츠센터,"051) 203-7780,9670",장애인,https://www.sbsd.kr/Home/106,
장애인 수영※ 상담 후 수업가능,"25,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",장애인,https://www.sbsd.kr/Home/106,
장애인 수영※ 상담 후 수업가능,"37,500원",,서부산권장애인스포츠센터,"051) 203-7780,9670",장애인,https://www.sbsd.kr/Home/106,
장애인 수영※ 상담 후 수업가능,"25,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",장애인,https://www.sbsd.kr/Home/106,
장애인 수영※ 상담 후 수업가능,"37,500원",,서부산권장애인스포츠센터,"051) 203-7780,9670",장애인,https://www.sbsd.kr/Home/106,
장애인 수영※ 상담 후 수업가능,"25,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",장애인,https://www.sbsd.kr/Home/106,
장애인 선수반,"37,500원",,서부산권장애인스포츠센터,"051) 203-7780,9670",장애인,https://www.sbsd.kr/Home/106,
주말 장애인 수영,"토 25,000원일 25,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",장애인,https://www.sbsd.kr/Home/106,
주말 장애인 수영,"토 25,000원일 25,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",장애인,https://www.sbsd.kr/Home/106,
주말 장애인 수영,"토 25,000원일 25,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",장애인,https://www.sbsd.kr/Home/106,
주말 장애인 수영,"토 25,000원일 25,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",장애인,https://www.sbsd.kr/Home/106,
주말 장애인 수영,"토 25,000원일 25,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",장애인,https://www.sbsd.kr/Home/106,
주말 장애인 수영,"토 25,000원일 25,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",장애인,https://www.sbsd.kr/Home/106,
