프로그램명,설명,담당자이름,담당기관,담당자연락처,신청자격,연결URL,신청방법
성인 재활수영,"새벽 7시 오전 9시/10시/ 11시; 43,000원 / 보호자 48,000원",,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
성인 재활수영,"새벽 7시 오전 9시/ 10시; 36,000원 / 보호자 40,000원",,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
성인 재활수영,"오후 7시; 58,000원 / 보호자 64,000원",,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
성인 재활수영,"오후 5시(헬스)/오후 6시(수영); 130,000원",,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
왓슈(아쿠아),"오후 1시/9시; 84,000원",,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
왓슈(아쿠아),"오전 8시/11시/오후 2시; 70,000원",,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
초등 청소년 재활수영 (보호자 필히 동반),"오후 4시(초등); 180,000원",,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
초등 청소년 재활수영 (보호자 필히 동반),"오후 4시; 81,000원(보호자 포함요금)",,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
초등 청소년 재활수영 (보호자 필히 동반),"오후 5시(청소년); 180,000원",,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
니모반 (65세 이상 어르신),"오후 2시; 43,000원 / 보호자 48,000원",,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
니모반 (65세 이상 어르신),"오후 1시; 36,000원 / 보호자 40,000원",,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
개별수중운동 (중증장애),"상담후 접수가능; 1:2 (300,000원)1:3 (250,000원)",,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
월 자유수영,"오전 8시 / 오후 12시; 월 41,000원",,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
개인락카,"보증금 10,000원(락카 반납시 환불) / 월 이용료 : 3,000원 또는 5,000원 (6개월 이상 미납시 락카 반납 및 물품수거: 분실 시 책임지지 않습니다.); 보증금 10,000원(락카 반납시 환불) / 월 이용료 : 3,000원 또는 5,000원 (6개월 이상 미납시 락카 반납 및 물품수거: 분실 시 책임지지 않습니다.)",,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
뇌병변장애인재활헬스,"06:00~18:00; 33,000원 / 보호자 33,000원 (보호자 개인운동을 병행할 경우)",,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
지체장애인재활헬스,"06:00~18:00; 33,000원 / 보호자 33,000원 (보호자 개인운동을 병행할 경우)",,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
발달장애인재활헬스,"06:00~18:00; 33,000원 / 보호자 33,000원 (보호자 개인운동을 병행할 경우)",,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
기타장애인재활헬스,"06:00~18:00; 33,000원 / 보호자 33,000원 (보호자 개인운동을 병행할 경우)",,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
유의사항,"* 헬스장 이용 준수사항 - 실내화 반드시 지참(운동복, 수건 지급 없음) - 입장시 회원증 또는 락카 키를 반드시 소지하셔야 합니다. - 헬스장 이용은 반드시 1일 1회 입장 원칙입니다. - 헬스 프로그램 이용회원은 수영장(유아풀, 성인풀)을 이용하실 수 없습니다.- 스트레칭 수업은 체력측정을 시행한 회원들이 이용할 수 있습니다.; * 헬스장 이용 준수사항 - 실내화 반드시 지참(운동복, 수건 지급 없음) - 입장시 회원증 또는 락카 키를 반드시 소지하셔야 합니다. - 헬스장 이용은 반드시 1일 1회 입장 원칙입니다. - 헬스 프로그램 이용회원은 수영장(유아풀, 성인풀)을 이용하실 수 없습니다.- 스트레칭 수업은 체력측정을 시행한 회원들이 이용할 수 있습니다.",,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
재활 특수체육 (상담후 접수),"110,000원",,서부재활체육센터,02-388-6622,"화, 목",http://www.sbsports.or.kr/sub/wrcAble.do,
재활체육 - 열정 (상담후 접수),"230,000원",,서부재활체육센터,02-388-6622,"화,목 초등",http://www.sbsports.or.kr/sub/wrcAble.do,
재활체육 - 열정 (상담후 접수),"230,000원",,서부재활체육센터,02-388-6622,"화,목 초등",http://www.sbsports.or.kr/sub/wrcAble.do,
재활 농구,"장애 – 월 58,000원",,서부재활체육센터,02-388-6622,초등 ~ 중등,http://www.sbsports.or.kr/sub/wrcAble.do,
왓슈,"30,000원",,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
산소캡슐,"30,000원",,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
왓슈+산소캡슐,"50,000원",,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
목각공예(목도장),금 14:00~15:00; 무료(재료비 별도),,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
"재봉교실(앞치마,두건)",월 10:00~11:00; 무료(재료비 별도),,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
아크릴 유화교실,금 10:00~12:00; 무료(재료비 별도),,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
다육아트(+ 펜그림 교실),월 14:00~15:00; 무료(재료비 별도),,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
단소교실,화 10:00~11:00; 무료(단소 개인지참),,서부재활체육센터,02-388-6622,,http://www.sbsports.or.kr/sub/wrcAble.do,
