프로그램명,설명,담당자이름,담당기관,담당자연락처,신청자격,연결URL,신청방법
반명,"시간
강습
프로그램비
",,인천광역시장애인국민체육센터, 032-719-4825 ,대상,http://ic-sports.or.kr/bbs/page.php?hid=cont_0301,
"지적,자폐수영 A","09:00~09:50
월,수,금
80,000원
",,인천광역시장애인국민체육센터, 032-719-4825 ,성인,http://ic-sports.or.kr/bbs/page.php?hid=cont_0301,
"지적,자폐수영 A","10:00~10:50
월,수,금
80,000원
",,인천광역시장애인국민체육센터, 032-719-4825 ,성인,http://ic-sports.or.kr/bbs/page.php?hid=cont_0301,
"지적,자폐수영 A","11:00~11:50
월,수,금
80,000원
",,인천광역시장애인국민체육센터, 032-719-4825 ,성인,http://ic-sports.or.kr/bbs/page.php?hid=cont_0301,
"지적,자폐수영 B","09:00~09:50
화,목
60,000원
",,인천광역시장애인국민체육센터, 032-719-4825 ,성인,http://ic-sports.or.kr/bbs/page.php?hid=cont_0301,
"지적,자폐수영 B","10:00~10:50
화,목
60,000원
",,인천광역시장애인국민체육센터, 032-719-4825 ,성인,http://ic-sports.or.kr/bbs/page.php?hid=cont_0301,
"지적,자폐수영 B","11:00~11:50
화,목
60,000원
",,인천광역시장애인국민체육센터, 032-719-4825 ,성인,http://ic-sports.or.kr/bbs/page.php?hid=cont_0301,
"지체,뇌병변수영 C","09:00~09:50
월,수,금
80,000원
",,인천광역시장애인국민체육센터, 032-719-4825 ,성인,http://ic-sports.or.kr/bbs/page.php?hid=cont_0301,
"지체,뇌병변수영 C","10:00~10:50
월,수,금
80,000원
",,인천광역시장애인국민체육센터, 032-719-4825 ,성인,http://ic-sports.or.kr/bbs/page.php?hid=cont_0301,
"지체,뇌병변수영 C","11:00~11:50
월,수,금
80,000원
",,인천광역시장애인국민체육센터, 032-719-4825 ,성인,http://ic-sports.or.kr/bbs/page.php?hid=cont_0301,
"지체,뇌병변수영 D","09:00~09:50
화,목
60,000원
",,인천광역시장애인국민체육센터, 032-719-4825 ,성인,http://ic-sports.or.kr/bbs/page.php?hid=cont_0301,
"지체,뇌병변수영 D","10:00~10:50
화,목
60,000원
",,인천광역시장애인국민체육센터, 032-719-4825 ,성인,http://ic-sports.or.kr/bbs/page.php?hid=cont_0301,
"지체,뇌병변수영 D","11:00~11:50
화,목
60,000원
",,인천광역시장애인국민체육센터, 032-719-4825 ,성인,http://ic-sports.or.kr/bbs/page.php?hid=cont_0301,
"지적,자폐수영 E","15:00~15:50
월,수,금
80,000원
",,인천광역시장애인국민체육센터, 032-719-4825 ,어린이청소년,http://ic-sports.or.kr/bbs/page.php?hid=cont_0301,
"지적,자폐수영 E","16:00~16:50
월,수,금
80,000원
",,인천광역시장애인국민체육센터, 032-719-4825 ,어린이청소년,http://ic-sports.or.kr/bbs/page.php?hid=cont_0301,
"지적,자폐수영 E","17:00~17:50
월,수,금
80,000원
",,인천광역시장애인국민체육센터, 032-719-4825 ,어린이청소년,http://ic-sports.or.kr/bbs/page.php?hid=cont_0301,
"지적,자폐수영 F","15:00~15:50
화,목
60,000원
",,인천광역시장애인국민체육센터, 032-719-4825 ,어린이청소년성인,http://ic-sports.or.kr/bbs/page.php?hid=cont_0301,
"지적,자폐수영 F","16:00~16:50
화,목
60,000원
",,인천광역시장애인국민체육센터, 032-719-4825 ,어린이청소년성인,http://ic-sports.or.kr/bbs/page.php?hid=cont_0301,
"지적,자폐수영 F","17:00~17:50
화,목
60,000원
",,인천광역시장애인국민체육센터, 032-719-4825 ,어린이청소년성인,http://ic-sports.or.kr/bbs/page.php?hid=cont_0301,
"지체,뇌병변수영 G","15:00~15:50
화,목
60,000원
",,인천광역시장애인국민체육센터, 032-719-4825 ,어린이장애인,http://ic-sports.or.kr/bbs/page.php?hid=cont_0301,
"지체,뇌병변수영 G","16:00~16:50
화,목
60,000원
",,인천광역시장애인국민체육센터, 032-719-4825 ,어린이장애인,http://ic-sports.or.kr/bbs/page.php?hid=cont_0301,
"지체,뇌병변수영 G","17:00~17:50
화,목
60,000원
",,인천광역시장애인국민체육센터, 032-719-4825 ,어린이장애인,http://ic-sports.or.kr/bbs/page.php?hid=cont_0301,
수영강습,"09:30~10:20
화,목
52,000원
",,인천광역시장애인국민체육센터, 032-719-4825 ,성인,http://ic-sports.or.kr/bbs/page.php?hid=cont_0301,
수영강습,"10:30~11:20
화,목
52,000원
",,인천광역시장애인국민체육센터, 032-719-4825 ,성인,http://ic-sports.or.kr/bbs/page.php?hid=cont_0301,
아쿠아로빅 A,"13:30~14:20
월,수,금
성인 52,000원청소년 46,000원
",,인천광역시장애인국민체육센터, 032-719-4825 ,성인청소년장애인,http://ic-sports.or.kr/bbs/page.php?hid=cont_0301,
아쿠아로빅 B,"13:30~14:20
화,목
성인 48,000원청소년 42,000원
",,인천광역시장애인국민체육센터, 032-719-4825 ,성인청소년장애인,http://ic-sports.or.kr/bbs/page.php?hid=cont_0301,
