Programs,Content,Company,Tel,Name,Applicant,Apply,Url
스포츠강좌이용권," 매월, 최대 8만원 한도, 스포츠활동 강좌비 지급 수강료가 8만원 이상인 경우 차액 본인 부담",경기도장애인복지종합지원센터,031-299-5000,," 국민기초생활보장법」에 따른 생계, 의료, 주거, 교육급여 수급가구및 차상위계층 학교·가정·성폭력 등 범죄피해가정(경찰청 추천)"," 방문, 인터넷- 지방자치단체(주민센터, 방문), 국민체육진흥공단(인터넷)",https://www.ggnurim.or.kr/main/uss/olp/faq/FaqListInqire.do?qestnCn=8
노인안검진 및 개안수술," 안검진 사업‧ 1차 진단: 정밀 안저검사 1종‧ 2차 진단: 정밀 안저검사, 안압검사, 굴절검사 및 조절검사(안경 처방전 교부 포함), 각막 곡률검사 등 총 4종 개안수술‧ (지원액) 1안당 본인 부담금 전액‧ (지원범위) 안과 진료 관련 초음파검사비 등 사전검사비 1회, 수술비, 수술 관련 재료비 등 개안수술비 총액 중 본인 부담액 전액 지원",경기도장애인복지종합지원센터,031-299-5000,," 안검진 : 만 60세이상 노인(저소득층 우선) 개안수술 : 기초수급자, 차상위계층 및 한부모가족 중 만 60세이상 노인으로수술대상(백내장, 망막질환, 녹내장 등 기타 안질환)안질환자"," 지역보건소에 신청(방문, 우편 등)",https://www.ggnurim.or.kr/main/uss/olp/faq/FaqListInqire.do?qestnCn=8
산모‧신생아 건강관리 지원사업," 산모건강관리, 신생아 건강관리, 산모 정보제공, 가사활동 지원, 정서지원, 기타",경기도장애인복지종합지원센터,031-299-5000,, 산모 또는 배우자가 생계·의료·주거·교육급여 수급자 또는 차상위계층*에 해당하는 출산가정 산모 및 배우자 등 해당가구의 건강보험료 본인부담금 합산액이 기준중위소득 120%이하 금액에 해당하는 출산 가정 ※ 2021.5.22. 지원대상 확대(기준 중위소득 150%이하)," 산모의 주민등록 주소지 관할 시·군·구 보건소,    인터넷(online.bokjiro.go.kr)",https://www.ggnurim.or.kr/main/uss/olp/faq/FaqListInqire.do?qestnCn=8
의료급여생애전환기검진," 성별연령별 특성에 적합한 맞춤형 건강진단‧ 골밀도 검사 : 만 66세 여성‧ 인지기능장애 : 만 66세 이상 2년 마다‧ 정신건강검사(우울증) : 만 70세‧ 생활습관평가 : 만 70세‧ 노인신체기능검사 : 만 66, 70, 80세",경기도장애인복지종합지원센터,031-299-5000,, 의료급여수급권자 중 만 66세 이상 세대주 및 세대원,  기타(의료급여수급권자 중 해당연령 대상자는 당연 대상이 됨),https://www.ggnurim.or.kr/main/uss/olp/faq/FaqListInqire.do?qestnCn=8
선천성대사이상검사 및 환아관리 지원," 신생아 선천성대사이상 외래 선별검사비의 (일부)본인부담금 지원 선천성대사이상 선별검사 결과 유소견 판정 후, 선천성대사이상 질환 관련확진검사를 받은 경우 확진검사비의 (일부)본인부담금 지원",경기도장애인복지종합지원센터,031-299-5000,,"‧ (선별검사)기준중위소득 180%이하 가구의 영아 다자녀(2명 이상) 가구의 영아는 소득수준에 관계없이 지원 상기 기준을 원칙으로 하되 예산 범위 내에서 시･도지사, 시장･군수･구청장또는 보건소장이 추가 지원이 필요하다고 인정하는 경우", 대상 영아의 부모가 출생일로부터 1년 이내에 제출서류를 구비하여 신청일 기준 대상 영아의 주민등록 주소지 관할 보건소로 신청,https://www.ggnurim.or.kr/main/uss/olp/faq/FaqListInqire.do?qestnCn=8
국가암검진사업,"‒ 의료급여수급권자의 검진비용은 국가와 지방자치단체가 각각 100분의 50을 부담(다만, 서울특별시는 국가가 100분의 30, 지방자치단체가 100분의 70을 부담)‒ 건강보험가입자의 검진비용은 국가 및 지방자치단체가 각각 100분의 5(다만, 서울특별시는 국가가 100분의 3, 지방자치단체가 100분의 7)를 부담하고, 공단이 100분의 90을 부담(다만, 자궁경부암, 대장암은 공단이 전액 부담)",경기도장애인복지종합지원센터,031-299-5000,," 자부담 비용지원 대상‧ 의료급여수급권자‧ 건강보험가입자 및 피부양자로서 당해연도 검진대상자 중 보험료 부과기준으로 지역가입자는 월 97,000원 이하, 직장가입자는 월 94,000원 이하인 자(19년 11월 기준) 암 종류별 표준 검진 연령 및 성별‧ 위암：40세 이상의 남성과 여성‧ 간암：40세 이상의 해당연도 전 2년간 간암발생고위험군 해당자‧ 대장암：50세 이상의 남성과 여성‧ 유방암：40세 이상의 여성‧ 자궁경부암：만 20세 이상의 여성‧ 폐암 : 만54세74세 중 30갑년 이상의 흡연력을 가진 흡연자 중 기준 충족하는 경우",  매년 초 건강보험공단에서 검진대상에게 검진안내 통보서를 송부- 국민건강보험공단을 통해 검진 대상자 여부 조회 가능,https://www.ggnurim.or.kr/main/uss/olp/faq/FaqListInqire.do?qestnCn=8
의료급여수급권자 일반건강검진비 지원," 검진항목‧ 총콜레스트롤: 남성 만 24세 이상, 여성 만 40세 이상 / 4년마다‧ HDL 콜레스테롤: 남성 만 24세 이상, 여성 만 40세 이상 / 4년마다‧ 트리글리세라이드: 남성 만 24세 이상, 여성 만 40세 이상 / 4년마다‧ LDL 콜레스테롤: 남성 만 24세 이상, 여성 만 40세 이상 / 4년마다‧ B형간염 표면항원/표면항체: 만 40세‧ 골밀도 검사: 만 54. 66세 여성‧ 인지기능장애: 만 66세 이상 2년마다‧ 정신건강검사(우울증): 만 20, 30, 40, 50, 60, 70세‧ 생활습관평가: 만 40, 50, 60, 70세‧ 노인신체기능검사: 만 66, 70, 80세",경기도장애인복지종합지원센터,031-299-5000,, 일반건강검진: 의료급여수급권자 중 만 19~64세 세대주 및 세대원, 의료급여수급권자 중 해당연령 대상자는 당연 대상이 됨,https://www.ggnurim.or.kr/main/uss/olp/faq/FaqListInqire.do?qestnCn=8
진폐근로자보호,"‧ 진폐위로금 지급 : 장해등급에 따라 평균 임금의 215일~1,040일분의 진폐재해위로금 지급‧ 건강진단 : 진폐건강진단 비용 실비지원‧ 진폐근로자 자녀학자금 : 진폐근로자 자녀의 중·고등학교 학자금 지원‧ 건강진단지원금: 정밀건강진단 실시자에 대해 입원 1일당 5만원 진단 수당 및병원 통원료 실비지원",경기도장애인복지종합지원센터,031-299-5000,, 진폐근로자와 그 유족," 방문, 우편- 근로복지공단",https://www.ggnurim.or.kr/main/uss/olp/faq/FaqListInqire.do?qestnCn=8
어린이 불소도포,"‧ 대상자 구강건강 상태 등 확인 후 처치 시행‧ 불소도포 방법: 불소 겔 도포, 불소 바니쉬 도포, 불소이온도입만 3세 이후, 6개월에 1회(환자의 구강상태와 필요성에 따라 결정)‧ 보건소(보건지소 포함)에서 치과의사(공중보건치과의사)의 지도하에 치과위생사가 실시",경기도장애인복지종합지원센터,031-299-5000,,"1) 지원대상‧ 15세 이하 아동    2) 선정기준‧ 우선대상자 저소득층 아동, 우식발생가능성이 높은 아동, 우식이 다수 발생된 아동, 아직 광하가 불완전한 영구치가 새로 맹출한 아동, 치열이 변화하는 시기인 3·7·10·13세 아동※ 생활터 및 사회복지시설 기관 등을 방문하여 불소도포하는 것을 권장※ 취약계층 아동의 경우 어린이 불소도포 사업과 치아홈메우기를 함께 병행하는 것을 권장",‧,https://www.ggnurim.or.kr/main/uss/olp/faq/FaqListInqire.do?qestnCn=8
취학전아동 실명 예방,1) 영유아 눈건강 이상 환아 관리 사업  의료서비스 취약지역 및 소외계층 어린이 눈 정밀검진 저소득층 개안수술비 지원 안질환 및 저시력어린이 환아 관리2) 영유아 눈건강 홍보 및 상담 사업  어린이 실명예방 홍보사업 안질환 및 눈건강 관련 상담,경기도장애인복지종합지원센터,031-299-5000,, 전국 취학전 아동, 한국실명예방재단에 방문하여 신청,https://www.ggnurim.or.kr/main/uss/olp/faq/FaqListInqire.do?qestnCn=8
